measure_name,datum,state_id,state_name,first_year,last_year,footnotes,sources
"% of all U.S. abortions, by state of occurrence",4.2,GA,Georgia,2017,n/a,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"% of all U.S. abortions, by state of occurrence",0.4,HI,Hawaii,2017,n/a,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"% of all U.S. abortions, by state of occurrence",0.1,ID,Idaho,2017,n/a,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"% of all U.S. abortions, by state of occurrence",4.9,IL,Illinois,2017,n/a,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"% of all U.S. abortions, by state of occurrence",0.9,IN,Indiana,2017,n/a,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"% of all U.S. abortions, by state of occurrence",0.4,IA,Iowa,2017,n/a,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"% of all U.S. abortions, by state of occurrence",0.8,KS,Kansas,2017,n/a,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"% of all U.S. abortions, by state of occurrence",0.4,KY,Kentucky,2017,n/a,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"% of all U.S. abortions, by state of occurrence",1.2,LA,Louisiana,2017,n/a,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"% of all U.S. abortions, by state of occurrence",0.2,ME,Maine,2017,n/a,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"% of all U.S. abortions, by state of occurrence",3.5,MD,Maryland,2017,n/a,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"% of all U.S. abortions, by state of occurrence",2.2,MA,Massachusetts,2017,n/a,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"% of all U.S. abortions, by state of occurrence",3.1,MI,Michigan,2017,n/a,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"% of all U.S. abortions, by state of occurrence",1.2,MN,Minnesota,2017,n/a,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"% of all U.S. abortions, by state of occurrence",0.3,MS,Mississippi,2017,n/a,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"% of all U.S. abortions, by state of occurrence",0.5,MO,Missouri,2017,n/a,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"% of all U.S. abortions, by state of occurrence",0.2,MT,Montana,2017,n/a,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"% of all U.S. abortions, by state of occurrence",0.2,NE,Nebraska,2017,n/a,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"% of all U.S. abortions, by state of occurrence",1.1,NV,Nevada,2017,n/a,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"% of all U.S. abortions, by state of occurrence",0.3,NH,"New Hampshire",2017,n/a,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"% of all U.S. abortions, by state of occurrence",5.6,NJ,"New Jersey",2017,n/a,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"% of all U.S. abortions, by state of occurrence",0.5,NM,"New Mexico",2017,n/a,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"% of all U.S. abortions, by state of occurrence",12.2,NY,"New York",2017,n/a,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"% of all U.S. abortions, by state of occurrence",3.4,NC,"North Carolina",2017,n/a,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"% of all U.S. abortions, by state of occurrence",0.1,ND,"North Dakota",2017,n/a,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"% of all U.S. abortions, by state of occurrence",2.4,OH,Ohio,2017,n/a,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"% of all U.S. abortions, by state of occurrence",0.6,OK,Oklahoma,2017,n/a,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"% of all U.S. abortions, by state of occurrence",1.1,OR,Oregon,2017,n/a,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"% of all U.S. abortions, by state of occurrence",3.6,PA,Pennsylvania,2017,n/a,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"% of all U.S. abortions, by state of occurrence",0.4,RI,"Rhode Island",2017,n/a,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"% of all U.S. abortions, by state of occurrence",0.6,SC,"South Carolina",2017,n/a,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"% of all U.S. abortions, by state of occurrence",0.1,SD,"South Dakota",2017,n/a,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"% of all U.S. abortions, by state of occurrence",1.4,TN,Tennessee,2017,n/a,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"% of all U.S. abortions, by state of occurrence",6.4,TX,Texas,2017,n/a,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"% of all U.S. abortions, by state of occurrence",0.3,UT,Utah,2017,n/a,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"% of all U.S. abortions, by state of occurrence",0.2,VT,Vermont,2017,n/a,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"% of all U.S. abortions, by state of occurrence",2,VA,Virginia,2017,n/a,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"% of all U.S. abortions, by state of occurrence",2.1,WA,Washington,2017,n/a,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"% of all U.S. abortions, by state of occurrence",0.2,WV,"West Virginia",2017,n/a,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"% of all U.S. abortions, by state of occurrence",0.7,WI,Wisconsin,2017,n/a,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"% of all U.S. abortions, by state of occurrence",0,WY,Wyoming,2017,n/a,,"Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"No. of abortions, by state of occurrence",6110,AL,Alabama,2017,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"No. of abortions, by state of occurrence",1260,AK,Alaska,2017,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"No. of abortions, by state of occurrence",12400,AZ,Arizona,2017,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"No. of abortions, by state of occurrence",3200,AR,Arkansas,2017,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"No. of abortions, by state of occurrence",132680,CA,California,2017,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"No. of abortions, by state of occurrence",12390,CO,Colorado,2017,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"No. of abortions, by state of occurrence",11910,CT,Connecticut,2017,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"No. of abortions, by state of occurrence",1900,DE,Delaware,2017,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"No. of abortions, by state of occurrence",5630,DC,"District of Columbia",2017,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"No. of abortions, by state of occurrence",71050,FL,Florida,2017,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"No. of abortions, by state of occurrence",36330,GA,Georgia,2017,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"No. of abortions, by state of occurrence",3200,HI,Hawaii,2017,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"No. of abortions, by state of occurrence",1290,ID,Idaho,2017,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"No. of abortions, by state of occurrence",42080,IL,Illinois,2017,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"No. of abortions, by state of occurrence",7710,IN,Indiana,2017,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"No. of abortions, by state of occurrence",3760,IA,Iowa,2017,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"No. of abortions, by state of occurrence",6830,KS,Kansas,2017,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"No. of abortions, by state of occurrence",3200,KY,Kentucky,2017,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"No. of abortions, by state of occurrence",9920,LA,Louisiana,2017,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"No. of abortions, by state of occurrence",2040,ME,Maine,2017,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"No. of abortions, by state of occurrence",29800,MD,Maryland,2017,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"No. of abortions, by state of occurrence",18590,MA,Massachusetts,2017,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"No. of abortions, by state of occurrence",26630,MI,Michigan,2017,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"No. of abortions, by state of occurrence",10740,MN,Minnesota,2017,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"No. of abortions, by state of occurrence",2550,MS,Mississippi,2017,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"No. of abortions, by state of occurrence",4710,MO,Missouri,2017,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"No. of abortions, by state of occurrence",1580,MT,Montana,2017,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"No. of abortions, by state of occurrence",2020,NE,Nebraska,2017,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"No. of abortions, by state of occurrence",9690,NV,Nevada,2017,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"No. of abortions, by state of occurrence",2210,NH,"New Hampshire",2017,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"No. of abortions, by state of occurrence",48110,NJ,"New Jersey",2017,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"No. of abortions, by state of occurrence",4620,NM,"New Mexico",2017,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"No. of abortions, by state of occurrence",105380,NY,"New York",2017,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"No. of abortions, by state of occurrence",29500,NC,"North Carolina",2017,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"No. of abortions, by state of occurrence",1160,ND,"North Dakota",2017,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"No. of abortions, by state of occurrence",20630,OH,Ohio,2017,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"No. of abortions, by state of occurrence",4780,OK,Oklahoma,2017,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"No. of abortions, by state of occurrence",9640,OR,Oregon,2017,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"No. of abortions, by state of occurrence",31260,PA,Pennsylvania,2017,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"No. of abortions, by state of occurrence",3500,RI,"Rhode Island",2017,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"No. of abortions, by state of occurrence",5120,SC,"South Carolina",2017,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"No. of abortions, by state of occurrence",500,SD,"South Dakota",2017,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"No. of abortions, by state of occurrence",12140,TN,Tennessee,2017,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"No. of abortions, by state of occurrence",55440,TX,Texas,2017,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"No. of abortions, by state of occurrence",2990,UT,Utah,2017,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"No. of abortions, by state of occurrence",1300,VT,Vermont,2017,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"No. of abortions, by state of occurrence",17210,VA,Virginia,2017,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"No. of abortions, by state of occurrence",17740,WA,Washington,2017,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"No. of abortions, by state of occurrence",1430,WV,"West Virginia",2017,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"No. of abortions, by state of occurrence",6360,WI,Wisconsin,2017,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
"No. of abortions, by state of occurrence",140,WY,Wyoming,2017,n/a,"Numbers of abortions are rounded to the nearest 10","Abortion Incidence and Service Availability in the United States, 2017, Rachel K. Jones, Elizabeth Witwer, Jenna Jerman <https://www.guttmacher.org/report/abortion-incidence-service-availability-us-2017>"
